Model,Selling_price,Original_price
"iPhone XS Max ",73999,109900
"iPhone 6s Plus ",34900,34900
"iPhone 6 Plus ",48999,48999
"iPhone XS ",76999,103900
"iPhone 6 Plus ",48999,48999
"iPhone XS ",62999,89900
"iPhone 7 Plus ",42900,42900
"iPhone 7 Plus ",42900,42900
"iPhone 7 Plus ",85400,85400
"iPhone 7 ",34900,34900
"iPhone 6s ",55999,55999
"iPhone 6s Plus ",34900,34900
"iPhone 11 Pro ",121300,121300
"iPhone 7 Plus ",42900,42900
"iPhone 7 ",34900,34900
"iPhone XS ",62999,89900
"iPhone XS ",62999,89900
"iPhone XS Max ",78999,124900
"iPhone 7 ",34900,34900
"iPhone 11 Pro ",99900,121300
"iPhone 7 Plus ",42900,42900
"iPhone 6s Plus ",59999,59999
"iPhone XS Max ",78999,124900
"iPhone XS Max ",144900,144900
"iPhone 7 ",74400,74400
"iPhone 6 Plus ",40999,40999
"iPhone 7 ",74400,74400
"iPhone XS Max ",78999,124900
"iPhone 7 ",74400,74400
"iPhone X ",106900,106900
"iPhone 7 ",74400,74400
"iPhone 6s ",72000,72000
"iPhone 6s Plus ",70000,70000
"iPhone 11 ",49900,49900
"iPhone 7 ",74400,74400
"iPhone 6 Plus ",80500,80500
"iPhone 6 Plus ",71500,71500
"iPhone 11 ",49900,49900
"iPhone 6 ",62000,62000
"iPhone 12 Pro Max ",129900,129900
"iPhone X ",106900,106900
"iPhone 11 ",54900,54900
"iPhone 6s ",49999,49999
"iPhone 11 ",64900,64900
"iPhone 6s ",55999,55999
"iPhone 6s Plus ",72000,72000
"iPhone 7 Plus ",36999,37900
"iPhone 6s ",41999,41999
"iPhone X ",91900,91900
"iPhone 13 ",104900,109900
"iPhone 13 Pro Max",139900,139900
"iPhone 13 Pro Max",169900,169900
"iPhone 13 Pro Max",159900,159900
"iPhone 13 Pro",149900,149900
"iPhone 13 mini",64900,69900
"iPhone 13 Pro Max",119900,119900
"iPhone 13 mini",94900,99900
"iPhone 13 Pro Max",179900,179900
"iPhone 13 Pro Max",139900,139900
"iPhone 13 Pro Max",139900,139900
"iPhone 13 Pro Max",159900,159900
"iPhone 13 Pro Max",159900,159900
"iPhone 13 Pro Max",129900,129900
"iPhone 13 Pro Max",129900,129900
"iPhone 13 Pro Max",179900,179900
"iPhone 13 Pro Max",129900,129900
"iPhone 13 Pro Max",139900,139900
"iPhone 13 Pro Max",139900,139900
"iPhone 13 Pro Max",159900,159900
"iPhone 13 Pro Max",159900,159900
"iPhone 13 Pro Max",179900,179900
"iPhone 13 Pro Max",179900,179900
