Brand,Model,Selling_price
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,F17,20999
OPPO,F17,20999
OPPO,F17,20999
OPPO,F17,20999
OPPO,F17,20999
OPPO,F17,20999
OPPO,F17,20999
OPPO,F17,20999
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,"Reno3 Pro",24719
OPPO,"Reno3 Pro",24768
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"Find X",60990
OPPO,"Reno4 Pro Special Edition",34990
OPPO,"Reno4 Pro Special Edition",34990
OPPO,"Reno4 Pro Special Edition",34990
OPPO,"Reno4 Pro Special Edition",34990
OPPO,"Reno4 Pro Special Edition",34990
OPPO,"Reno4 Pro Special Edition",34990
OPPO,"Reno4 Pro Special Edition",34990
OPPO,"Reno4 Pro Special Edition",34990
OPPO,F11,17990
OPPO,F11,17990
OPPO,F11,17990
OPPO,F11,17990
OPPO,F11,17990
OPPO,F11,17990
OPPO,F11,17990
OPPO,F11,17990
OPPO,A5,15990
OPPO,A5,15990
OPPO,A5,15990
OPPO,A5,15990
OPPO,A5,15990
OPPO,A5,15990
OPPO,A5,15990
OPPO,A5,15990
OPPO,A5,15990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,"Reno4 Pro",34990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,A12,10990
OPPO,A12,10990
OPPO,A12,10990
OPPO,A12,10990
OPPO,A12,10990
OPPO,A12,10990
OPPO,A12,10990
OPPO,A12,10990
OPPO,A12,10990
OPPO,A12,10990
OPPO,A12,10990
OPPO,A12,10990
OPPO,A12,10990
OPPO,A12,10990
OPPO,A12,10990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"Reno2 F",21990
OPPO,"Reno2 F",21990
OPPO,"Reno2 F",21990
OPPO,"Reno2 F",21990
OPPO,"Reno2 F",21990
OPPO,"A5 2020",12990
OPPO,"A5 2020",12990
OPPO,"A5 2020",12990
OPPO,"A5 2020",12990
OPPO,"A5 2020",12990
OPPO,"A5 2020",12990
OPPO,"A5 2020",12990
OPPO,"A5 2020",12990
OPPO,"F3 Deepika Padukone Limited Edition",17000
OPPO,"F1 Plus",27500
OPPO,K1,15000
OPPO,"A83 2018 Edition",15000
OPPO,F3,18000
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,A3s,15000
OPPO,A83,11000
OPPO,K3,23990
OPPO,F9,19000
OPPO,"Reno2 Z",29489
OPPO,A5s,9490
OPPO,A5s,9490
OPPO,A5s,9490
OPPO,A5s,9490
OPPO,A5s,9490
OPPO,A5s,9490
OPPO,A5s,9490
OPPO,A83,13990
OPPO,A83,13990
OPPO,A83,13990
OPPO,A83,13990
OPPO,A83,13990
OPPO,A83,13990
OPPO,A83,13990
OPPO,A83,13990
OPPO,A83,13990
OPPO,A83,13990
OPPO,A83,13990
OPPO,F5,15500
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,A52,17999
OPPO,"A71 New Edition",9940
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,"Neo 7 4G",10000
OPPO,A5s,15726
OPPO,F3,18000
OPPO,A71,12500
OPPO,A71,12500
OPPO,F15,18990
OPPO,F15,18990
OPPO,F15,18990
OPPO,F15,18990
OPPO,F15,18990
OPPO,F15,18990
OPPO,F15,18990
OPPO,F15,18990
OPPO,A57,18000
OPPO,A31,13799
OPPO,A31,13899
OPPO,"A9 2020",15990
OPPO,"A9 2020",15990
OPPO,"A9 2020",15990
OPPO,"A9 2020",15990
OPPO,"A9 2020",15990
OPPO,"A9 2020",15990
OPPO,"A9 2020",15990
OPPO,"A9 2020",15990
OPPO,"A9 2020",15990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"A9 2020",14990
OPPO,"Reno2 F",25889
OPPO,A5s,12990
